Binder Name,Binder Type,Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Main,binder,Lys Alana Informant,ECL,Lorwyn Eclipsed,181,normal,common,3,110386,a79649c4-559e-4306-a102-5fd8750629c7,0.13,false,false,near_mint,en,USD,2026-04-26T05:28:38.780Z
Main,binder,Deepway Navigator,ECL,Lorwyn Eclipsed,214,normal,rare,2,110416,d988e28b-fa60-4b60-8229-7a15932c784b,0.23,false,false,near_mint,en,USD,2026-04-26T05:30:43.146Z
Main,binder,Sear,ECL,Lorwyn Eclipsed,154,normal,uncommon,2,110390,aeb4612c-758b-4492-ba03-eb6741b4176e,0.28,false,false,near_mint,en,USD,2026-04-26T05:30:43.147Z
Main,binder,Reaping Willow,ECL,Lorwyn Eclipsed,240,normal,uncommon,2,110794,97c33cc2-3573-410a-908b-c0392fff524b,0.23,false,false,near_mint,en,USD,2026-04-26T05:30:43.148Z
Main,binder,Spell Snare,ECL,Lorwyn Eclipsed,71,normal,uncommon,2,110399,b7551b61-656e-4f37-b9da-73174db983b7,0.39,false,false,near_mint,en,USD,2026-04-26T05:30:43.149Z
Main,binder,Flock Impostor,ECL,Lorwyn Eclipsed,16,normal,uncommon,2,110413,d32d0336-5140-41f9-bc67-f3d743b9231d,0.24,false,false,near_mint,en,USD,2026-04-26T05:30:43.150Z
Main,binder,Merrow Skyswimmer,ECL,Lorwyn Eclipsed,234,normal,common,3,110676,075b419a-fd44-4a9a-8c40-474562b7e11a,0.09,false,false,near_mint,en,USD,2026-04-26T05:30:43.151Z
Main,binder,Gravelgill Scoundrel,ECL,Lorwyn Eclipsed,53,normal,common,3,110713,320bc30c-7a8a-411a-9f36-9c69126e131b,0.06,false,false,near_mint,en,USD,2026-04-26T05:30:43.152Z
Main,binder,Temporal Cleansing,ECL,Lorwyn Eclipsed,78,normal,common,3,110498,50ee7315-ec53-43d2-841e-8ec192b850f1,0.07,false,false,near_mint,en,USD,2026-04-26T05:30:43.153Z
Main,binder,Riverguard's Reflexes,ECL,Lorwyn Eclipsed,33,normal,common,2,110782,88a79f3e-ca74-467c-b0a8-22802ac5b465,0.1,false,false,near_mint,en,USD,2026-04-26T05:30:43.154Z
Main,binder,Bogslither's Embrace,ECL,Lorwyn Eclipsed,94,normal,common,3,110743,4beca2e7-9c6d-493b-b15f-69e483a8dfff,0.23,false,false,near_mint,en,USD,2026-04-26T05:30:43.155Z
Main,binder,Boneclub Berserker,ECL,Lorwyn Eclipsed,126,normal,common,3,110597,b3dbbe30-3d6e-46f8-92c1-caee995cba1a,0.18,false,false,near_mint,en,USD,2026-04-26T05:30:43.156Z
Main,binder,Keep Out,ECL,Lorwyn Eclipsed,19,normal,common,2,110741,4ab1601c-634c-4f21-8926-ba3cb92008c1,0.13,false,false,near_mint,en,USD,2026-04-26T05:34:54.342Z
Main,binder,Foraging Wickermaw,ECL,Lorwyn Eclipsed,256,foil,common,1,110867,f524bc08-caeb-4362-b960-eb8e0e4159d0,0.1,false,false,near_mint,en,USD,2026-04-26T05:34:54.343Z
