"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","A Realm Reborn","fin","Near Mint","English","","","2026-09-10 00:13:02.787000","196","False","False","0.32"
"1","1","A.I.M. Labs","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","257","False","False","0.12"
"1","1","A.I.M. Scientists","msh","Near Mint","English","foil","","2026-09-10 00:13:02.787000","44","False","False","0.23"
"3","3","A.I.M. Scientists","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","44","False","False","0.09"
"3","3","A.I.M. Synthoids","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","242","False","False","0.08"
"2","2","Aang, at the Crossroads // Aang, Destined Savior","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","203","False","False","0.79"
"1","1","Aang, the Last Airbender","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","4","False","False","0.19"
"1","1","Aang's Iceberg","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","5","False","False","0.49"
"5","5","Aang's Journey","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","1","False","False","0.22"
"4","4","Abandon Attachments","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","205","False","False","0.26"
"1","1","Abandoned Air Temple","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","263","False","False","7.16"
"1","1","Aberrant Return","ecc","Near Mint","English","","","2026-09-10 00:13:02.787000","7","False","False","0.27"
"1","1","Abomination, Terrifying Titan","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","198","False","False","0.10"
"1","1","Abomination, Terrifying Titan","msh","Near Mint","English","foil","","2026-09-10 00:13:02.787000","333","False","False","0.28"
"1","1","Abrade","soa","Near Mint","English","","","2026-09-10 00:13:02.787000","37","False","False","0.34"
"1","1","Abstract Paintmage","sos","Near Mint","English","","","2026-09-10 00:13:02.787000","171","False","False","0.15"
"2","2","Accumulate Wisdom","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","44","False","False","0.33"
"1","1","Accumulate Wisdom","tla","Near Mint","English","foil","","2026-09-10 00:13:02.787000","44","False","False","0.57"
"1","1","Acidic Slime","tmc","Near Mint","English","","","2026-09-10 00:13:02.787000","48","False","False","0.22"
